idx,ID,image_path,topic,sub_topic,type_of_question,prompt,prompt_used_for_generation,ground_truth,ground_truth_num,model_answer,pred_norm,gt_norm,pred_num,correct_exact,correct_numeric,generation_error
91,buffalo_prompt4,original_images/images/buffalo.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Buffalo,,{Bison},bison,buffalo,,False,False,
92,camel_prompt1,original_images/images/camel.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
93,camel_prompt4,original_images/images/camel.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Camel,,{Camel},camel,camel,,True,False,
94,caracal_prompt1,original_images/images/caracal.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
95,caracal_prompt4,original_images/images/caracal.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Caracal,,{Caracal},caracal,caracal,,True,False,
96,caribou_prompt1,original_images/images/caribou.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
97,caribou_prompt4,original_images/images/caribou.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Caribou,,{Reindeer},reindeer,caribou,,False,False,
98,cassowary_prompt1,original_images/images/cassowary.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",2,2.0,{2},2,2,2.0,True,True,
99,cassowary_prompt4,original_images/images/cassowary.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Cassowary,,{Bird},bird,cassowary,,False,False,
100,cheetah_prompt1,original_images/images/cheetah.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
101,cheetah_prompt4,original_images/images/cheetah.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Cheetah,,{Cheetah},cheetah,cheetah,,True,False,
102,chicken_prompt1,original_images/images/chicken.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",2,2.0,{2},2,2,2.0,True,True,
103,chicken_prompt4,original_images/images/chicken.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Chicken,,{Chicken},chicken,chicken,,True,False,
104,cow_prompt1,original_images/images/cow.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
105,cow_prompt4,original_images/images/cow.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Cow,,{Cow},cow,cow,,True,False,
106,coyote_prompt1,original_images/images/coyote.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
107,coyote_prompt4,original_images/images/coyote.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Coyote,,{Wolf},wolf,coyote,,False,False,
108,crane_prompt1,original_images/images/crane.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",2,2.0,{2},2,2,2.0,True,True,
109,crane_prompt4,original_images/images/crane.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Crane,,{Bird},bird,crane,,False,False,
110,deer_prompt1,original_images/images/deer.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
111,deer_prompt4,original_images/images/deer.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Deer,,{Deer},deer,deer,,True,False,
112,dingo_prompt1,original_images/images/dingo.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
113,dingo_prompt4,original_images/images/dingo.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Dingo,,{Dingo},dingo,dingo,,True,False,
114,domestic_cat_prompt1,original_images/images/domestic cat.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
115,domestic_cat_prompt4,original_images/images/domestic cat.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Domestic cat,,{Cat},cat,domestic cat,,False,False,
116,domestic_dog_prompt1,original_images/images/domestic dog.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
117,domestic_dog_prompt4,original_images/images/domestic dog.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Domestic dog,,{Dog},dog,domestic dog,,False,False,
118,donkey_prompt1,original_images/images/donkey.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
119,donkey_prompt4,original_images/images/donkey.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Donkey,,{Donkey},donkey,donkey,,True,False,
120,dromedary_camel_prompt1,original_images/images/dromedary camel.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
121,dromedary_camel_prompt4,original_images/images/dromedary camel.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Dromedary camel,,{Camel},camel,dromedary camel,,False,False,
122,duck_prompt1,original_images/images/duck.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",2,2.0,{2},2,2,2.0,True,True,
123,duck_prompt4,original_images/images/duck.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Duck,,{Duck},duck,duck,,True,False,
124,egret_prompt1,original_images/images/egret.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",2,2.0,{2},2,2,2.0,True,True,
125,egret_prompt4,original_images/images/egret.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Egret,,{Bird},bird,egret,,False,False,
126,eland_prompt1,original_images/images/eland.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
127,eland_prompt4,original_images/images/eland.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Eland,,{Antelope},antelope,eland,,False,False,
128,elk_prompt1,original_images/images/elk.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
129,elk_prompt4,original_images/images/elk.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Elk,,{Elk},elk,elk,,True,False,
130,emu_prompt1,original_images/images/emu.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",2,2.0,{2},2,2,2.0,True,True,
131,emu_prompt4,original_images/images/emu.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Emu,,{Emu},emu,emu,,True,False,
132,fennec_fox_prompt1,original_images/images/fennec fox.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
133,fennec_fox_prompt4,original_images/images/fennec fox.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Fennec fox,,{Fox},fox,fennec fox,,False,False,
134,gazelle_prompt1,original_images/images/gazelle.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
135,gazelle_prompt4,original_images/images/gazelle.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Gazelle,,{Antelope},antelope,gazelle,,False,False,
136,giraffe_prompt1,original_images/images/giraffe.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
137,giraffe_prompt4,original_images/images/giraffe.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Giraffe,,{Giraffe},giraffe,giraffe,,True,False,
138,gnu_prompt1,original_images/images/gnu.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
139,gnu_prompt4,original_images/images/gnu.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Gnu,,{Gnu},gnu,gnu,,True,False,
140,goat_prompt1,original_images/images/goat.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
141,goat_prompt4,original_images/images/goat.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Goat,,{Goat},goat,goat,,True,False,
142,gray_wolf_prompt1,original_images/images/gray wolf.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
143,gray_wolf_prompt4,original_images/images/gray wolf.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Gray wolf,,{Wolf},wolf,gray wolf,,False,False,
144,hare_prompt1,original_images/images/hare.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
145,hare_prompt4,original_images/images/hare.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Hare,,{Hare},hare,hare,,True,False,
146,heron_prompt1,original_images/images/heron.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",2,2.0,{2},2,2,2.0,True,True,
147,heron_prompt4,original_images/images/heron.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Heron,,{Bird},bird,heron,,False,False,
148,hippopotamus_prompt1,original_images/images/hippopotamus.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
149,hippopotamus_prompt4,original_images/images/hippopotamus.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Hippopotamus,,{Hippopotamus},hippopotamus,hippopotamus,,True,False,
150,horse_prompt1,original_images/images/horse.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
151,horse_prompt4,original_images/images/horse.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Horse,,{Horse},horse,horse,,True,False,
152,hyena_prompt1,original_images/images/hyena.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
153,hyena_prompt4,original_images/images/hyena.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Hyena,,{Hyena},hyena,hyena,,True,False,
154,ibex_prompt1,original_images/images/ibex.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
155,ibex_prompt4,original_images/images/ibex.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Ibex,,{Goat},goat,ibex,,False,False,
156,ibis_prompt1,original_images/images/ibis.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",2,2.0,{2},2,2,2.0,True,True,
157,ibis_prompt4,original_images/images/ibis.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Ibis,,{Bird},bird,ibis,,False,False,
158,impala_prompt1,original_images/images/impala.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
159,impala_prompt4,original_images/images/impala.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Impala,,{Antelope},antelope,impala,,False,False,
160,indian_rhinoceros_prompt1,original_images/images/indian rhinoceros.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
161,indian_rhinoceros_prompt4,original_images/images/indian rhinoceros.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Indian rhinoceros,,{Rhino},rhino,indian rhinoceros,,False,False,
162,jackal_prompt1,original_images/images/jackal.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
163,jackal_prompt4,original_images/images/jackal.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Jackal,,{Wolf},wolf,jackal,,False,False,
164,jaguar_prompt1,original_images/images/jaguar.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
165,jaguar_prompt4,original_images/images/jaguar.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Jaguar,,{jaguar},jaguar,jaguar,,True,False,
166,kudu_prompt1,original_images/images/kudu.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
167,kudu_prompt4,original_images/images/kudu.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Kudu,,{kudu},kudu,kudu,,True,False,
168,lapwing_prompt1,original_images/images/lapwing.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",2,2.0,{2},2,2,2.0,True,True,
169,lapwing_prompt4,original_images/images/lapwing.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Lapwing,,{Bird},bird,lapwing,,False,False,
170,leopard_prompt1,original_images/images/leopard.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
171,leopard_prompt4,original_images/images/leopard.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Leopard,,{Leopard},leopard,leopard,,True,False,
172,lion_prompt1,original_images/images/lion.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
173,lion_prompt4,original_images/images/lion.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Lion,,{Lion},lion,lion,,True,False,
174,llama_prompt1,original_images/images/llama.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
175,llama_prompt4,original_images/images/llama.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Llama,,{Llama},llama,llama,,True,False,
176,lynx_prompt1,original_images/images/lynx.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
177,lynx_prompt4,original_images/images/lynx.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Lynx,,{Lynx},lynx,lynx,,True,False,
178,maned_wolf_prompt1,original_images/images/maned wolf.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
179,maned_wolf_prompt4,original_images/images/maned wolf.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Maned wolf,,{Maned Wolf},maned wolf,maned wolf,,True,False,
180,maserati_prompt1,original_images/images/maserati_black_convertible_0.png,Logos,cars,Counting/Illusion,"How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{3},3,3,3.0,True,True,
181,maserati_prompt4,original_images/images/maserati_black_convertible_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Maserati,,{Maserati},maserati,maserati,,True,False,
182,maserati_prompt1,original_images/images/maserati_black_coupe_0.png,Logos,cars,Counting/Illusion,"How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{3},3,3,3.0,True,True,
183,maserati_prompt4,original_images/images/maserati_black_coupe_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Maserati,,{Maserati},maserati,maserati,,True,False,
184,maserati_prompt1,original_images/images/maserati_black_sedan_0.png,Logos,cars,Counting/Illusion,"How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{3},3,3,3.0,True,True,
185,maserati_prompt4,original_images/images/maserati_black_sedan_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Maserati,,{Maserati},maserati,maserati,,True,False,
186,maserati_prompt1,original_images/images/maserati_black_sports car_0.png,Logos,cars,Counting/Illusion,"How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{3},3,3,3.0,True,True,
187,maserati_prompt4,original_images/images/maserati_black_sports car_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Maserati,,{Maserati},maserati,maserati,,True,False,
188,maserati_prompt1,original_images/images/maserati_black_suv_0.png,Logos,cars,Counting/Illusion,"How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{3},3,3,3.0,True,True,
189,maserati_prompt4,original_images/images/maserati_black_suv_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Maserati,,{Maserati},maserati,maserati,,True,False,
190,maserati_prompt1,original_images/images/maserati_gray_convertible_0.png,Logos,cars,Counting/Illusion,"How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many prongs are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{3},3,3,3.0,True,True,
191,maserati_prompt4,original_images/images/maserati_gray_convertible_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Maserati,,{Maserati},maserati,maserati,,True,False,
