idx,ID,image_path,topic,sub_topic,type_of_question,prompt,prompt_used_for_generation,ground_truth,ground_truth_num,model_answer,pred_norm,gt_norm,pred_num,correct_exact,correct_numeric,generation_error,run_mode,fallback_used,original_error_before_fallback,image_resize_applied,max_image_side,original_image_width,original_image_height,processed_image_width,processed_image_height,input_ids_shape,pixel_values_shape,num_image_crops
68,audi_prompt1,original_images/images/audi_gray_suv_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,678,448,296,"(1, 1880)","(1, 3, 3, 384, 384)",3
69,audi_prompt4,original_images/images/audi_gray_suv_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Audi,,{Audi},audi,audi,,True,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,678,448,296,"(1, 1861)","(1, 3, 3, 384, 384)",3
70,audi_prompt1,original_images/images/audi_white_convertible_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,764,448,334,"(1, 1772)","(1, 3, 3, 384, 384)",3
71,audi_prompt4,original_images/images/audi_white_convertible_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Audi,,{Audi},audi,audi,,True,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,764,448,334,"(1, 1753)","(1, 3, 3, 384, 384)",3
72,audi_prompt1,original_images/images/audi_white_coupe_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:10,True,448.0,1024,834,448,364,"(1, 1718)","(1, 3, 3, 384, 384)",3
73,audi_prompt4,original_images/images/audi_white_coupe_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Audi,,{Audi},audi,audi,,True,False,,resized_fallback,True,too_many_image_crops_original:10,True,448.0,1024,834,448,364,"(1, 1699)","(1, 3, 3, 384, 384)",3
74,audi_prompt1,original_images/images/audi_white_hatchback_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,608,448,266,"(1, 2042)","(1, 3, 3, 384, 384)",3
75,audi_prompt4,original_images/images/audi_white_hatchback_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Audi,,{Audi},audi,audi,,True,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,608,448,266,"(1, 2023)","(1, 3, 3, 384, 384)",3
76,audi_prompt1,original_images/images/audi_white_sedan_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,679,448,297,"(1, 1880)","(1, 3, 3, 384, 384)",3
77,audi_prompt4,original_images/images/audi_white_sedan_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Audi,,{Audi},audi,audi,,True,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,679,448,297,"(1, 1861)","(1, 3, 3, 384, 384)",3
78,audi_prompt1,original_images/images/audi_white_suv_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,642,448,280,"(1, 1988)","(1, 3, 3, 384, 384)",3
79,audi_prompt4,original_images/images/audi_white_suv_0.png,Logos,cars,ID,"What car logo is this? Answer in curly brackets, e.g., {Toyota}.","What car logo is this? Answer in curly brackets, e.g., {Toyota}.",Audi,,{Audi},audi,audi,,True,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,642,448,280,"(1, 1969)","(1, 3, 3, 384, 384)",3
80,avocet_prompt1,original_images/images/avocet.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",2,2.0,2,2,2,2.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1875)","(1, 3, 3, 384, 384)",3
81,avocet_prompt4,original_images/images/avocet.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Avocet,,{Bird},bird,avocet,,False,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1861)","(1, 3, 3, 384, 384)",3
82,bactrian_camel_prompt1,original_images/images/bactrian camel.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1875)","(1, 3, 3, 384, 384)",3
83,bactrian_camel_prompt4,original_images/images/bactrian camel.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Bactrian camel,,{Camel},camel,bactrian camel,,False,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1861)","(1, 3, 3, 384, 384)",3
84,bighorn_sheep_prompt1,original_images/images/bighorn sheep.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1875)","(1, 3, 3, 384, 384)",3
85,bighorn_sheep_prompt4,original_images/images/bighorn sheep.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Bighorn sheep,,{Goat},goat,bighorn sheep,,False,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1861)","(1, 3, 3, 384, 384)",3
86,bison_prompt1,original_images/images/bison.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,688,448,301,"(1, 1875)","(1, 3, 3, 384, 384)",3
87,bison_prompt4,original_images/images/bison.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Bison,,{Buffalo},buffalo,bison,,False,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,688,448,301,"(1, 1861)","(1, 3, 3, 384, 384)",3
88,bobcat_prompt1,original_images/images/bobcat.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,631,448,276,"(1, 1983)","(1, 3, 3, 384, 384)",3
89,bobcat_prompt4,original_images/images/bobcat.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Bobcat,,{Cat},cat,bobcat,,False,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,631,448,276,"(1, 1969)","(1, 3, 3, 384, 384)",3
90,buffalo_prompt1,original_images/images/buffalo.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,720,448,315,"(1, 1821)","(1, 3, 3, 384, 384)",3
91,buffalo_prompt4,original_images/images/buffalo.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Buffalo,,{Buffalo},buffalo,buffalo,,True,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,720,448,315,"(1, 1807)","(1, 3, 3, 384, 384)",3
92,camel_prompt1,original_images/images/camel.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,736,448,322,"(1, 1821)","(1, 3, 3, 384, 384)",3
93,camel_prompt4,original_images/images/camel.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Camel,,{Camel},camel,camel,,True,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,736,448,322,"(1, 1807)","(1, 3, 3, 384, 384)",3
94,caracal_prompt1,original_images/images/caracal.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1875)","(1, 3, 3, 384, 384)",3
95,caracal_prompt4,original_images/images/caracal.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Caracal,,{Cat},cat,caracal,,False,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1861)","(1, 3, 3, 384, 384)",3
96,caribou_prompt1,original_images/images/caribou.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,729,448,318,"(1, 1821)","(1, 3, 3, 384, 384)",3
97,caribou_prompt4,original_images/images/caribou.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Caribou,,{Deer},deer,caribou,,False,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,729,448,318,"(1, 1807)","(1, 3, 3, 384, 384)",3
98,cassowary_prompt1,original_images/images/cassowary.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",2,2.0,2,2,2,2.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,765,448,334,"(1, 1767)","(1, 3, 3, 384, 384)",3
99,cassowary_prompt4,original_images/images/cassowary.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Cassowary,,{Ostrich},ostrich,cassowary,,False,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,765,448,334,"(1, 1753)","(1, 3, 3, 384, 384)",3
100,cheetah_prompt1,original_images/images/cheetah.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,697,448,304,"(1, 1875)","(1, 3, 3, 384, 384)",3
101,cheetah_prompt4,original_images/images/cheetah.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Cheetah,,{Cheetah},cheetah,cheetah,,True,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,697,448,304,"(1, 1861)","(1, 3, 3, 384, 384)",3
102,chicken_prompt1,original_images/images/chicken.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",2,2.0,2,2,2,2.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,680,1024,297,448,"(1, 1888)","(1, 3, 3, 384, 384)",3
103,chicken_prompt4,original_images/images/chicken.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Chicken,,{Chicken},chicken,chicken,,True,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,680,1024,297,448,"(1, 1874)","(1, 3, 3, 384, 384)",3
104,cow_prompt1,original_images/images/cow.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1875)","(1, 3, 3, 384, 384)",3
105,cow_prompt4,original_images/images/cow.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Cow,,{Cow},cow,cow,,True,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1861)","(1, 3, 3, 384, 384)",3
106,coyote_prompt1,original_images/images/coyote.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:10,True,448.0,1024,841,448,367,"(1, 1659)","(1, 3, 3, 384, 384)",3
107,coyote_prompt4,original_images/images/coyote.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Coyote,,{Fox},fox,coyote,,False,False,,resized_fallback,True,too_many_image_crops_original:10,True,448.0,1024,841,448,367,"(1, 1645)","(1, 3, 3, 384, 384)",3
108,crane_prompt1,original_images/images/crane.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",2,2.0,2,2,2,2.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1875)","(1, 3, 3, 384, 384)",3
109,crane_prompt4,original_images/images/crane.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Crane,,{Bird},bird,crane,,False,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1861)","(1, 3, 3, 384, 384)",3
110,deer_prompt1,original_images/images/deer.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:10,True,448.0,1024,791,448,346,"(1, 1713)","(1, 3, 3, 384, 384)",3
111,deer_prompt4,original_images/images/deer.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Deer,,{Deer},deer,deer,,True,False,,resized_fallback,True,too_many_image_crops_original:10,True,448.0,1024,791,448,346,"(1, 1699)","(1, 3, 3, 384, 384)",3
112,dingo_prompt1,original_images/images/dingo.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,745,448,325,"(1, 1821)","(1, 3, 3, 384, 384)",3
113,dingo_prompt4,original_images/images/dingo.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Dingo,,{Dog},dog,dingo,,False,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,745,448,325,"(1, 1807)","(1, 3, 3, 384, 384)",3
114,domestic_cat_prompt1,original_images/images/domestic cat.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,567,448,248,"(1, 2091)","(1, 3, 3, 384, 384)",3
115,domestic_cat_prompt4,original_images/images/domestic cat.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Domestic cat,,{Cat},cat,domestic cat,,False,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,567,448,248,"(1, 2077)","(1, 3, 3, 384, 384)",3
116,domestic_dog_prompt1,original_images/images/domestic dog.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,681,448,297,"(1, 1875)","(1, 3, 3, 384, 384)",3
117,domestic_dog_prompt4,original_images/images/domestic dog.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Domestic dog,,{Dog},dog,domestic dog,,False,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,681,448,297,"(1, 1861)","(1, 3, 3, 384, 384)",3
118,donkey_prompt1,original_images/images/donkey.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,763,448,333,"(1, 1767)","(1, 3, 3, 384, 384)",3
119,donkey_prompt4,original_images/images/donkey.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Donkey,,{Donkey},donkey,donkey,,True,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,763,448,333,"(1, 1753)","(1, 3, 3, 384, 384)",3
120,dromedary_camel_prompt1,original_images/images/dromedary camel.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1875)","(1, 3, 3, 384, 384)",3
121,dromedary_camel_prompt4,original_images/images/dromedary camel.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Dromedary camel,,{Camel},camel,dromedary camel,,False,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1861)","(1, 3, 3, 384, 384)",3
122,duck_prompt1,original_images/images/duck.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",2,2.0,2,2,2,2.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,737,448,322,"(1, 1821)","(1, 3, 3, 384, 384)",3
123,duck_prompt4,original_images/images/duck.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Duck,,{Duck},duck,duck,,True,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,737,448,322,"(1, 1807)","(1, 3, 3, 384, 384)",3
124,egret_prompt1,original_images/images/egret.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",2,2.0,2,2,2,2.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,764,448,334,"(1, 1767)","(1, 3, 3, 384, 384)",3
125,egret_prompt4,original_images/images/egret.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Egret,,{Bird},bird,egret,,False,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,764,448,334,"(1, 1753)","(1, 3, 3, 384, 384)",3
126,eland_prompt1,original_images/images/eland.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1875)","(1, 3, 3, 384, 384)",3
127,eland_prompt4,original_images/images/eland.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Eland,,{Antelope},antelope,eland,,False,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,680,448,297,"(1, 1861)","(1, 3, 3, 384, 384)",3
128,elk_prompt1,original_images/images/elk.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:10,True,448.0,1024,777,448,339,"(1, 1767)","(1, 3, 3, 384, 384)",3
129,elk_prompt4,original_images/images/elk.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Elk,,{Deer},deer,elk,,False,False,,resized_fallback,True,too_many_image_crops_original:10,True,448.0,1024,777,448,339,"(1, 1753)","(1, 3, 3, 384, 384)",3
130,emu_prompt1,original_images/images/emu.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",2,2.0,2,2,2,2.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,699,448,305,"(1, 1875)","(1, 3, 3, 384, 384)",3
131,emu_prompt4,original_images/images/emu.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Emu,,{Ostrich},ostrich,emu,,False,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,699,448,305,"(1, 1861)","(1, 3, 3, 384, 384)",3
132,fennec_fox_prompt1,original_images/images/fennec fox.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,635,448,277,"(1, 1983)","(1, 3, 3, 384, 384)",3
133,fennec_fox_prompt4,original_images/images/fennec fox.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Fennec fox,,{Fox},fox,fennec fox,,False,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,635,448,277,"(1, 1969)","(1, 3, 3, 384, 384)",3
134,gazelle_prompt1,original_images/images/gazelle.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,670,448,293,"(1, 1929)","(1, 3, 3, 384, 384)",3
135,gazelle_prompt4,original_images/images/gazelle.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Gazelle,,{Gazelle},gazelle,gazelle,,True,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,670,448,293,"(1, 1915)","(1, 3, 3, 384, 384)",3
136,giraffe_prompt1,original_images/images/giraffe.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,725,448,317,"(1, 1821)","(1, 3, 3, 384, 384)",3
137,giraffe_prompt4,original_images/images/giraffe.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Giraffe,,{Giraffe},giraffe,giraffe,,True,False,,resized_fallback,True,too_many_image_crops_original:7,True,448.0,1024,725,448,317,"(1, 1807)","(1, 3, 3, 384, 384)",3
